MotID;Heiti;Stadur;Upphafsdagur;Lokadagur;LidID;EinstID;Lysing;Timastimpill;ByrjaTimi;EndaTimi;MinuturALeik;Stigaregla;Stada;MaxHrinur;TwitterTag
76;Krækjumót 2005;Sauðárkrókur;2005-03-19 00:00:00.000;2005-03-19 00:00:00.000;1500;536;;2005-01-26 21:38:11.010;1899-12-30 10:00:00.000;1899-12-30 18:00:00.000;30;"BLÍ       ";S;3;NULL
77;Siglómótið 2005;Siglufirði;2005-04-02 00:00:00.000;2005-04-02 00:00:00.000;147;1508;;2005-01-28 17:07:29.463;1899-12-30 12:00:00.000;1899-12-30 18:00:00.000;30;"BLÍ       ";S;2;NULL
78;Kjörísmót Hamars 2005;Hveragerði;2005-04-02 00:00:00.000;2005-04-02 00:00:00.000;138;179;;2005-02-10 17:33:13.150;1899-12-30 08:30:00.000;1899-12-30 23:00:00.000;40;"BLÍ       ";L;3;NULL
79;Haustmót Fylkis 2005 - blandað mót;Fylkishöll;2005-09-10 00:00:00.000;2005-09-10 00:00:00.000;1830;1252;Blandað mót;2005-05-27 00:21:13.280;1899-12-30 10:00:00.000;1899-12-30 16:30:00.000;30;"BLÍ       ";L;2;NULL
80;Stigamót BLÍ í strandblaki 2005;Fagrilundur;2005-07-02 00:00:00.000;2005-07-02 00:00:00.000;144;952;;2005-06-21 22:00:56.233;1899-12-30 10:00:00.000;1899-12-30 17:00:00.000;30;"BLÍ       ";S;3;NULL
81;Brosmót Aftureldingar 2006;;2006-02-11 00:00:00.000;2006-02-11 00:00:00.000;1176;265;;2005-08-30 21:16:00.327;1899-12-30 09:00:00.000;1899-12-30 17:00:00.000;40;"BLÍ       ";L;2;NULL
82;Haustmót KA 2005;KA heimili;2005-11-25 00:00:00.000;2005-11-26 00:00:00.000;1746;678;;2005-09-19 15:51:48.843;1899-12-30 09:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";G;3;NULL
83;Stjörnumót 2005;Ásgarður Garðabær;2005-10-23 00:00:00.000;2005-10-23 00:00:00.000;1954;1101;;2005-09-20 21:42:00.030;1899-12-30 08:30:00.000;1899-12-30 19:00:00.000;30;"Öld2000   ";G;2;NULL
84;Haustmót BLÍ 2005;Austurberg;2005-10-02 00:00:00.000;2005-10-02 00:00:00.000;139;961;Hið árlega Haustmót BLÍ á vegum Þróttar R.;2005-09-22 11:56:03.060;1899-12-30 09:30:00.000;1899-12-30 18:00:00.000;40;"BLÍ       ";L;3;NULL
85;KB Bankamót Snæfells;Stykkishólmi;2005-11-12 00:00:00.000;2005-11-12 00:00:00.000;22;304;;2005-10-06 11:26:59.297;1899-12-30 09:30:00.000;1899-12-30 18:00:00.000;30;"BLÍ       ";L;2;NULL
86;HK-trimm 2006;Digranes;2006-01-14 00:00:00.000;2006-01-15 00:00:00.000;110;157;"23 HK-trimm ";2005-10-26 20:31:08.140;1899-12-30 08:30:00.000;1899-12-30 23:00:00.000;30;"BLÍ       ";L;2;NULL
87;Dímonarmót  jan.  2006;Hvolsvöllur;2006-01-28 00:00:00.000;2006-01-28 00:00:00.000;1204;889;Hraðmót öldunga;2005-11-07 21:16:09.093;1899-12-30 10:00:00.000;1899-12-30 23:00:00.000;30;"BLÍ       ";L;2;NULL
88;Bresamót 2006;Akranesi;2006-03-11 00:00:00.000;2006-03-11 00:00:00.000;148;590;Hraðmót . Leiknar 2 hrinur upp í 21.;2005-11-07 21:20:56.733;1899-12-30 08:00:00.000;1899-12-30 21:00:00.000;30;"BLÍ       ";L;2;NULL
89;Nýársmót Völsungs 2006;Húsavík;2006-01-07 00:00:00.000;2006-01-07 00:00:00.000;75;74;;2005-11-07 21:25:14.857;1899-12-30 10:00:00.000;1899-12-30 18:00:00.000;45;"BLÍ       ";G;3;NULL
