LidID;Nafn;Radnumer;LidaTegundID;SyndarLid;Timastimpill;SyndarlidID
4160;Höttur;NULL;38;0;2009-10-20 11:17:17.153;NULL
4161;Leiknir;NULL;38;0;2009-10-20 11:20:26.903;NULL
4162;Leiknir;NULL;39;0;2009-10-20 11:21:11.920;NULL
4163;Valur;NULL;39;0;2009-10-20 11:23:15.280;NULL
4164;Höttur;NULL;39;0;2009-10-20 11:29:33.500;NULL
4165;KA c;NULL;38;0;2009-10-20 12:04:12.077;NULL
4166;UMF Laugar;NULL;38;0;2009-10-20 12:05:50.467;NULL
4167;Skautar;NULL;39;0;2009-10-20 18:20:03.687;NULL
4168;Stjarnan C;NULL;39;0;2009-10-21 13:58:08.513;NULL
4172;HK C;NULL;39;0;2009-10-21 14:04:31.780;NULL
4173;Afturelding B;NULL;39;0;2009-10-21 14:05:49.640;NULL
4174;Lansinn;NULL;39;0;2009-10-21 14:06:47.047;NULL
4175;Dímon;NULL;39;0;2009-10-21 14:11:20.047;NULL
4176;Stjarnan B;NULL;39;0;2009-10-21 14:15:03.043;NULL
4177;"A1                                      ";NULL;21;1;2009-10-22 18:26:44.373;4177
4178;"A2                                      ";NULL;21;1;2009-10-22 18:26:44.390;4178
4179;"A3                                      ";NULL;21;1;2009-10-22 18:26:44.403;4179
4180;"A4                                      ";NULL;21;1;2009-10-22 18:26:44.420;4180
4181;"B1                                      ";NULL;21;1;2009-10-22 18:26:44.437;4181
4182;"B2                                      ";NULL;21;1;2009-10-22 18:26:44.437;4182
4183;"C1                                      ";NULL;21;1;2009-10-22 18:26:44.450;4183
4184;"C2                                      ";NULL;21;1;2009-10-22 18:26:44.483;4184
4185;"A1                                      ";NULL;21;1;2009-10-22 22:34:55.263;4185
4186;"A2                                      ";NULL;21;1;2009-10-22 22:34:55.280;4186
4187;"A3                                      ";NULL;21;1;2009-10-22 22:34:55.293;4187
4188;"A4                                      ";NULL;21;1;2009-10-22 22:34:55.310;4188
4189;"B1                                      ";NULL;21;1;2009-10-22 22:34:55.310;4189
4190;"B2                                      ";NULL;21;1;2009-10-22 22:34:55.327;4190
4191;"B3                                      ";NULL;21;1;2009-10-22 22:34:55.340;4191
4192;"B4                                      ";NULL;21;1;2009-10-22 22:34:55.357;4192
4193;KA-Freyjur C;NULL;39;0;2009-11-15 16:48:35.250;NULL
4195;KA-Yngri;NULL;35;0;2009-11-18 23:15:10.483;NULL
4228;Leiftur;1;38;0;2009-11-19 19:06:59.030;NULL
4251;Þróttur N c;NULL;39;0;2009-11-23 11:17:35.687;NULL
4252;Þróttur N d;NULL;39;0;2009-11-23 11:18:32.420;NULL
4253;Huginn b;NULL;39;0;2009-11-23 11:19:21.467;NULL
4254;Höttur b;NULL;39;0;2009-11-23 11:20:14.607;NULL
4255;Sindri b;NULL;39;0;2009-11-23 11:21:04.560;NULL
4256;Leiknir b;NULL;39;0;2009-11-23 11:21:55.513;NULL
4257;Valur b;NULL;39;0;2009-11-23 11:23:24.030;NULL
4258;Volleychick;NULL;21;0;2009-12-02 19:51:05.170;NULL
4259;Súlur;NULL;39;0;2009-12-03 11:48:48.700;NULL
